instruction,type
lift the green cylinder up,lift
navigate to the right side,move
navigate to the left side,move
get the blue cylinder,pick
head toward the right corner,move
drag the red box to the corner,pull
push the red cylinder toward the center,push
lift the yellow sphere up,lift
lower the blue cylinder to the table,lower
pick the blue sphere,pick
move toward the center,move
pull the blue cylinder to the corner,pull
lift the red sphere up,lift
push the blue box toward the center,push
move to the table,move
push the blue box aside,push
move to the left side,move
lower the green box to the corner,lower
lift the red cylinder up,lift
grab the blue box,pick
lift the red box off the table,lift
drop the green sphere on the left side,place
push the blue box to the right side,push
go to the right side,move
push the green cylinder aside,push
place the red cylinder on the center,place
head to the table,move
pull the red sphere toward you,pull
navigate to the right end,move
bring the yellow sphere down,lower
push the yellow box toward the center,push
get the green sphere,pick
go to the table,move
set the blue box down on the table,lower
put the red sphere on the right side,place
grab the green cylinder,pick
descend the red cylinder to the table,lower
descend the green cylinder to the center,lower
head to the center,move
put the green box on the corner,place
set the yellow cylinder on the right side,place
pick the red cylinder,pick
push the red box toward the left side,push
pull the yellow box to the right side,pull
pick the red box,pick
descend the yellow sphere to the corner,lower
raise the green cylinder,lift
set the blue box down on the center,lower
drop the red cylinder on the corner,place
take the green box,pick
descend the green cylinder to the table,lower
push the red cylinder toward the left side,push
draw the green sphere toward the right side,pull
set the blue cylinder on the left side,place
place the yellow sphere on the right side,place
draw the yellow box toward the table,pull
place the blue sphere on the corner,place
descend the yellow sphere to the center,lower
set the blue box down on the left side,lower
get the yellow sphere,pick
set the red sphere down on the center,lower
set the blue cylinder down on the corner,lower
lower the green box to the table,lower
push the blue cylinder toward the table,push
draw the yellow sphere toward the left side,pull
drop the red cylinder on the left side,place
drop the red sphere on the left side,place
grab the yellow sphere,pick
drop the green cylinder on the right side,place
go to the left side,move
take the red cylinder,pick
move toward the red box,move
lower the yellow box to the right side,lower
lower the green cylinder to the corner,lower
lower the red box to the center,lower
set the yellow sphere on the center,place
push the yellow box toward the table,push
drag the yellow cylinder to the right side,pull
lift the red cylinder off the table,lift
place the yellow cylinder on the table,place
move to the corner,move
lift the yellow box off the table,lift
drop the red box on the table,place
drag the yellow sphere to the left side,pull
push the blue sphere to the center,push
get the green cylinder,pick
pick the blue box,pick
hoist the green box up,lift
push the green box to the right side,push
drag the red sphere to the table,pull
lift the green box off the table,lift
lift the green sphere up,lift
draw the blue cylinder toward the table,pull
lift the yellow box up,lift
push the yellow sphere to the table,push
pull the yellow cylinder to the table,pull
take the blue cylinder,pick
pull the red box toward you,pull
put the blue cylinder on the left side,place
lower the red sphere to the corner,lower
take the blue sphere,pick
go to the far side of the table,move
lower the green sphere to the table,lower
grab the green sphere,pick
lift the blue box off the table,lift
drag the green box to the right side,pull
push the blue sphere to the table,push
raise the red cylinder,lift
push the red cylinder to the corner,push
push the yellow box toward the right side,push
set the red sphere on the corner,place
move to the right side,move
approach the table,move
take the red box,pick
grab the red box,pick
lower the yellow cylinder to the table,lower
draw the blue cylinder toward the left side,pull
drop the blue box on the center,place
grab the blue cylinder,pick
take the green sphere,pick
raise the blue cylinderlift the red box,lift
descend the blue sphere to the right side,lower
put the yellow sphere on the center,place
push the green box aside,push
grab the yellow cylinder,pick
drag the green cylinder to the corner,pull
drag the green cylinder to the center,pull
set the red cylinder on the left side,place
descend the yellow sphere to the table,lower
drag the yellow box to the right side,pull
pull the green cylinder to the corner,pull
push the yellow box toward the corner,push
draw the green cylinder toward the corner,pull
push the yellow sphere toward the left side,push
place the blue cylinder on the left side,place
place the red sphere on the center,place
pull the yellow box toward you,pull
drop the red box on the center,place
raise the yellow cylinder,lift
set the red box on the corner,place
push the red sphere toward the right side,push
drop the green cylinder on the corner,place
grab the blue sphere,pick
pick the blue cylinder,pick
move to the wall,move
set the yellow box on the corner,place
raise the blue cylinder,lift
push the yellow cylinder toward the corner,push
go to the far end,move
push the green cylinder toward the center,push
draw the blue cylinder toward the corner,pull
put the yellow cylinder on the right side,place
hoist the blue sphere up,lift
lift the red box up,lift
