instruction,type,source
approach the edge while avoiding the green block,avoid,manual
push the blue ball to the corner,push,manual
move to the table carefully avoiding all obstacles,avoid,manual
rest the green sphere on the right side,put,manual
travel to the far end of the table,move,manual
go to the table without touching the red block,avoid,generated
navigate to the table while avoiding the red cube,avoid,generated
move the arm to the table,move,manual
push the red block to the right side,push,manual
reset the arm to home position,reset,manual
please grab the blue sphere,pick,manual
place the red cube on the corner,put,generated
rotate the green block 180 degrees,rotate,manual
slide the red cube to the right side,push,generated
go to the shelf without knocking over the blue block,avoid,manual
go to the shelf without touching the red cube,avoid,generated
reset the red bottle to start,reset,generated
grab the red block,pick,generated
sort the orange objects near the edge,sort,manual
flip the yellow cube on its side,rotate,manual
restore the red ball to initial position,reset,generated
reset the red cylinder to start,reset,generated
put the red cube on top of the red block,stack,generated
navigate around the red cube to reach the table,avoid,manual
slide the red cube to the table,push,generated
reset the workspace to initial state,reset,manual
put the red bottle back to start,reset,generated
where is the small blue block?,find,manual
go to the left side,move,manual
arrange the red objects on the center,sort,generated
reset the red cube to start,reset,generated
arrange the red objects on the shelf,sort,generated
flip the red block to the left side,rotate,generated
put the blue sphere on top of the box,put,manual
lift the green sphere,pick,manual
sort the red objects to the center,sort,generated
rotate the red cylinder 45 degrees,rotate,manual
slide the red object toward the box,push,manual
where is the blue cube?,find,manual
give the blue block a push,push,manual
move to the center avoiding the red cube,avoid,generated
nudge the red cube toward the shelf,push,generated
put the red sphere back to start,reset,generated
drop the red cube on the right side,put,generated
get the red block,pick,generated
nudge the red cube toward the table,push,generated
pick the red block,pick,manual
pick up the blue cube on the floor,pick,manual
turn the green sphere to face right,rotate,manual
lift the small green sphere,pick,manual
roll the red ball away from the edge,push,manual
place the red cube on the right side,put,generated
head to the left side,move,generated
turn the blue sphere to face the wall,rotate,manual
drop the red cube on the shelf,put,generated
roll the green ball to the corner,push,manual
navigate to the corner,move,generated
lift the green ball near the wall,pick,manual
spot the red cube on the table,find,manual
shove the red cube to the table,push,generated
restore the red cylinder to initial position,reset,generated
stack the yellow block on the green cylinder,stack,manual
arrange the cubes in order by color,sort,manual
reset the red sphere to start,reset,generated
push the red cube to the left side,push,generated
pick the red ball,pick,generated
return everything to the starting position,reset,manual
lift the red cylinder,pick,generated
spot the red sphere,find,generated
go to the corner without touching the red cube,avoid,generated
navigate to the shelf without touching anything,avoid,manual
group all red spheres together,sort,generated
put the red cube on top of the red cube,stack,generated
stack the red cube on the red bottle,stack,generated
group the spheres together on the table,sort,manual
organize the spheres on the left and cubes on the right,sort,manual
stack the blue block on the red cylinder,stack,manual
shove the red object toward the wall,push,manual
restore all objects to their original positions,reset,manual
